ID,latitude,longitude,suburb,municipality
4532,-37.66527,145.51662,Healesville,Shire of Yarra Ranges
4533,-37.72322,145.27707,Wonga Park,City of Manningham
4534,-37.9403,145.04432,Moorabbin,City of Kingston
4535,-37.77829,144.963,Brunswick,City of Merri-bek
4536,-37.8176151,144.9543219,Melbourne,City of Melbourne
4537,-37.76747,145.11721,Templestowe Lower,City of Manningham
4538,-37.87596,144.77712,Altona Meadows,City of Hobsons Bay
4539,-37.82406,144.96638,Southbank,City of Melbourne
4540,-37.8095,144.96507,Melbourne,City of Melbourne
4541,-37.91664,144.74656,Point Cook,City of Wyndham
4542,-37.83837,144.99922,South Yarra,City of Stonnington
4543,-37.7886,144.95799,Parkville,City of Melbourne
4544,-37.82715087,144.9681616,Southbank,City of Melbourne
4545,-37.81652,144.95214,Docklands,City of Melbourne
4546,-37.66588,145.51747,Healesville,Shire of Yarra Ranges
4547,-37.8224767,144.9669219,Southbank,City of Melbourne
4548,-37.82315708,144.9650306,Southbank,City of Melbourne
4549,-37.8219,144.96619,Southbank,City of Melbourne
4550,-37.58939,145.0944,Mernda,City of Whittlesea
4551,-37.81755,144.95863,Melbourne,City of Melbourne
4552,-37.77547,144.95789,Brunswick,City of Merri-bek
4553,-37.71144,145.08206,Watsonia,City of Banyule
4554,-37.81739,144.97755,East Melbourne,City of Melbourne
4555,-37.83521,144.97095,South Melbourne,City of Port Phillip
4556,-37.91213,145.10088,Oakleigh South,City of Monash
4557,-37.80894,144.94976,West Melbourne,City of Melbourne
4558,-37.83479,145.12158,Box Hill South,City of Whitehorse
4559,-38.13184,145.13446,Frankston,City of Frankston
4560,-37.64784,145.53546,Healesville,Shire of Yarra Ranges
4561,-37.81755,144.95863,Melbourne,City of Melbourne
4562,-37.8102205,144.9662652,Melbourne,City of Melbourne
4563,-37.8241067,145.0143279,Richmond,City of Yarra
4564,-37.70489,144.93321,Glenroy,City of Merri-bek
4565,-37.65519,145.36884,Yarra Glen,Shire of Yarra Ranges
4566,-37.8157,145.12093,Box Hill,City of Whitehorse
4567,-37.83672,144.95466,South Melbourne,City of Port Phillip
4568,-37.87037,145.1395,Mount Waverley,City of Monash
4569,-37.86407,144.99111,St Kilda,City of Port Phillip
4570,-37.8174,145.11882,Box Hill,City of Whitehorse
4571,-37.78033,144.81629,Albion,City of Brimbank
4572,-37.65439,145.34665,Christmas Hills,Shire of Yarra Ranges
4573,-37.85965,144.98011,St Kilda,City of Port Phillip
4574,-37.81071,145.24256,Ringwood East,City of Maroondah
4575,-37.71857,144.95082,Pascoe Vale,City of Merri-bek
4576,-37.82279,144.699,Tarneit,City of Wyndham
4577,-37.81943,145.00549,Richmond,City of Yarra
4578,-37.80417,145.65429,Yarra Junction,Shire of Yarra Ranges
4579,-37.8582,144.99021,St Kilda,City of Port Phillip
4580,-37.8151,144.95352,Melbourne,City of Melbourne
4581,-37.78157,144.92393,Flemington,City of Moonee Valley
4582,-37.81776,144.96565,Melbourne,City of Melbourne
4583,-37.84253,144.97704,Melbourne,City of Port Phillip
4584,-37.8425293,144.9770355,Melbourne,City of Port Phillip
4585,-37.79518,144.88669,Footscray,City of Maribyrnong
4586,-37.82895,144.97053,Southbank,City of Melbourne
4587,-37.8336,144.97329,Melbourne,City of Melbourne
4588,-37.82097,144.95648,Melbourne,City of Melbourne
4589,-37.98605,145.17954,Keysborough,City of Greater Dandenong
4590,-37.84321,144.97817,Melbourne,City of Melbourne
4591,-37.8166,144.95193,Docklands,City of Melbourne
4592,-37.84304,144.97593,Melbourne,City of Port Phillip
4593,-37.59143,145.51575,Toolangi,Shire of Yarra Ranges
4594,-38.04963,145.54263,Nar Nar Goon North,Shire of Cardinia
4595,-37.76232,145.17259,Doncaster East,City of Manningham
4596,-37.76493,144.96938,Brunswick,City of Merri-bek
4597,-37.76666,144.9709,Brunswick,City of Merri-bek
4598,-37.76621,144.96903,Brunswick,City of Merri-bek
4599,-37.76647,144.97114,Brunswick,City of Merri-bek
4600,-37.76678,144.96891,Brunswick,City of Merri-bek
4601,-37.91713,145.03639,Bentleigh,City of Glen Eira
4602,-37.66612,145.51882,Healesville,Shire of Yarra Ranges
4603,-37.82735,144.95555,Southbank,City of Melbourne
4604,-37.81857,144.95783,Melbourne,City of Melbourne
4605,-37.72118,144.81122,Keilor Downs,City of Brimbank
4606,-37.81435,144.95249,Melbourne,City of Melbourne
4607,-37.91836,144.74883,Point Cook,City of Wyndham
4608,-37.94837,145.00403,Sandringham,City of Bayside
4609,-37.83417,144.9369,Port Melbourne,City of Port Phillip
4610,-37.87248,145.15316,Glen Waverley,City of Monash
4611,-37.82393,145.12409,Box Hill,City of Whitehorse
4612,-37.86742,145.11046,Ashwood,City of Monash
4613,-37.805,144.97683,Fitzroy,City of Yarra
4614,-37.8293,144.97091,Southbank,City of Melbourne
4615,-37.91539,145.05006,Bentleigh,City of Glen Eira
4616,-37.80131,144.95427,North Melbourne,City of Melbourne
4617,-37.77448,144.97792,Brunswick East,City of Merri-bek
4618,-37.77387,144.97614,Brunswick East,City of Merri-bek
4619,-37.81268,144.94178,Docklands,City of Melbourne
4620,-37.81535,144.95339,Melbourne,City of Melbourne
4621,-37.82543945,144.9659119,Southbank,City of Melbourne
4622,-37.96243,145.04009,Cheltenham,City of Bayside
4623,-38.14289,145.13455,Frankston,City of Frankston
4624,-37.90856,145.36064,Belgrave,Shire of Yarra Ranges
4625,-37.74832,145.69994,Warburton,Shire of Yarra Ranges
4626,-37.81378,144.9538,Melbourne,City of Melbourne
4627,-37.81402,144.95442,Melbourne,City of Melbourne
4628,-37.8092041,144.9668274,Melbourne,City of Melbourne
4629,-37.6124,145.40299,Dixons Creek,Shire of Yarra Ranges
4630,-37.70985,145.14066,Eltham,Shire of Nillumbik
4631,-37.82895,144.96932,Southbank,City of Melbourne
4632,-37.81853,144.99459,Richmond,City of Yarra
4633,-37.84864,144.98938,Prahran,City of Stonnington
4634,-37.60125,145.00624,Wollert,City of Whittlesea
4635,-37.89166,145.14808,Glen Waverley,City of Monash
4636,-37.80022,144.98097,Fitzroy,City of Yarra
4637,-37.81294,144.99178,Richmond,City of Yarra
4638,-37.82418,144.96304,Southbank,City of Melbourne
4639,-37.85891,145.00578,Prahran,City of Stonnington
